prefill_chunk_size,kv_cache_size,batch_size,is_prefill,mean_ns,p50_ns,p90_ns,max_ns
0,22528,1,False,18248004.549946018,2037940.0002639159,325835333.9997484,325835333.9997484
0,22784,1,False,18514382.100056536,2071275.0001621316,330486673.9999852,330486673.9999852
0,23040,1,False,18362509.50000249,2072895.0000830083,327524762.9999285,327524762.9999285
0,23296,1,False,18610895.54997761,2096624.9999219144,332110654.00018924,332110654.00018924
0,23552,1,False,18536604.50003645,2091859.500069404,330542732.9996746,330542732.9996746
0,23808,1,False,18426364.150013797,2101639.4998696344,328076484.0001211,328076484.0001211
0,24064,1,False,19124228.999999106,2114005.0000667544,341841113.00010043,341841113.00010043
0,24320,1,False,17828919.649969067,2134249.9999263966,315705224.0003395,315705224.0003395
0,24576,1,False,18768777.549985316,2148935.0001502316,334149514.00027347,334149514.00027347
0,24832,1,False,18731612.499959737,2155884.9998655207,333334132.99988025,333334132.99988025
0,25088,1,False,18347948.54996744,2162429.999998494,325438553.99990207,325438553.99990207
0,25344,1,False,19566906.349973578,2178938.9998048134,349395102.00001675,349395102.00001675
0,25600,1,False,20105170.349938817,2154680.000103326,360642490.99990773,360642490.99990773
0,25856,1,False,19387403.399991855,2215204.9998567235,345288611.9998766,345288611.9998766
0,26112,1,False,19683520.249964204,2197024.499764666,351483231.00020206,351483231.00020206
0,26368,1,False,20105864.749962166,2222699.9999475083,359510341.00025934,359510341.00025934
0,26624,1,False,20317562.350078333,2212040.00013131,363996270.00037074,363996270.00037074
0,26880,1,False,19392625.999967095,2240084.5002721325,344866112.9996253,344866112.9996253
0,27136,1,False,20962475.450005513,2255364.499887946,376029120.000112,376029120.000112
0,27392,1,False,20393097.40002864,2255254.9999090843,364609861.00019,364609861.00019
0,27648,1,False,20532920.85006433,2259544.500248012,367233841.000143,367233841.000143
0,27904,1,False,20923778.85003316,2284894.0000130823,374794379.999912,374794379.999912
0,28160,1,False,20827909.85000429,2292704.49995056,372587360.00012505,372587360.00012505
0,28416,1,False,21017859.900030088,2300405.0001418362,376217649.9999441,376217649.9999441
0,28672,1,False,21416494.85004109,2339135.0000565583,383465459.00003546,383465459.00003546
0,28928,1,False,21549347.350014612,2343824.500258052,386234748.99986833,386234748.99986833
0,29184,1,False,21402797.79998764,2337574.9999559047,383123409.0002909,383123409.0002909
0,29440,1,False,21609473.699959382,2360064.5001806696,386914839.9999176,386914839.9999176
0,29696,1,False,21531975.2500136,2355144.9999104077,385562569.00028527,385562569.00028527
0,29952,1,False,19648364.90003563,2387199.4999353774,347380751.99993545,347380751.99993545
0,30208,1,False,20204154.3000405,2398610.0002275635,357949581.99994653,357949581.99994653
0,30464,1,False,19681833.500044376,2396889.999999985,347667481.9999062,347667481.9999062
0,30720,1,False,19815974.90000695,2388260.0000888486,350610962.9997809,350610962.9997809
0,30976,1,False,19676877.85004273,2423990.0001248317,347154192.0002892,347154192.0002892
0,31232,1,False,20961678.449998543,2433770.000152435,372641339.9999728,372641339.9999728
0,31488,1,False,19894727.349969797,2457389.500023055,350761061.99994683,350761061.99994683
0,31744,1,False,20526199.799974166,2479750.000020431,362724960.99991256,362724960.99991256
0,32000,1,False,20544574.85000967,2474959.9999722703,363568379.9998333,363568379.9998333
0,32256,1,False,20394997.250059534,2474574.500183735,360282791.0003725,360282791.0003725
0,32512,1,False,19617713.850016117,2509013.999997478,344204352.0003608,344204352.0003608
0,32768,1,False,21827088.74997843,2539139.4999587648,387983838.999844,387983838.999844
0,33024,1,False,21456759.900002,2546489.999986079,380063829.9999264,380063829.9999264
0,33280,1,False,20006013.750003148,2551364.9998174515,351026001.0002639,351026001.0002639
0,33536,1,False,21727641.750021577,2603684.4999453025,384745418.9999553,384745418.9999553
0,33792,1,False,21197644.75003194,2580799.50026513,374584058.9999716,374584058.9999716
0,34048,1,False,20753024.89997739,2596994.4999815198,365284400.0002915,365284400.0002915
0,34304,1,False,21284782.800012182,2598309.499944662,375883650.00010526,375883650.00010526
0,34560,1,False,20630945.800007794,2612619.999808885,362701670.00020593,362701670.00020593
0,34816,1,False,20923867.90002365,2605520.0000882903,368558560.00011045,368558560.00011045
0,35072,1,False,21050911.84992034,2635769.9996424345,370199389.9999252,370199389.9999252
0,35328,1,False,21638504.199995622,2644264.999844381,382143818.9997934,382143818.9997934
0,35584,1,False,21485380.24998743,2670034.999937343,378553300.0000214,378553300.0000214
0,35840,1,False,21167314.599983912,2664814.500121793,372418769.99996746,372418769.99996746
0,36096,1,False,20943005.84994926,2703475.0000893837,367054280.9995823,367054280.9995823
0,36352,1,False,21361733.750018176,2700255.0000361223,375322789.9997,375322789.9997
0,36608,1,False,21628981.350045253,2727450.0000658007,380557979.00005925,380557979.00005925
0,36864,1,False,22638883.199965674,2751270.0000897893,400063637.99966496,400063637.99966496
0,37120,1,False,21226283.300029535,2767359.9997797282,371402339.9998041,371402339.9998041
0,37376,1,False,22987800.250029977,2762775.0000647213,406967508.00043446,406967508.00043446
0,37632,1,False,22045489.199945223,2781174.9998818412,387722828.9998129,387722828.9998129
0,37888,1,False,22063129.65001871,2783770.000178265,387933289.0001024,387933289.0001024
