prefill_chunk_size,kv_cache_size,batch_size,is_prefill,mean_ns,p50_ns,p90_ns,max_ns
0,39424,4,False,84645197.40000468,3377819.9999687783,409486967.00002074,409486967.00002074
0,39680,1,False,77081799.99999629,2909790.000103385,373549850.00001764,373549850.00001764
0,39680,2,False,82151563.60006404,4318469.000054392,393250779.00002724,393250779.00002724
0,39680,4,False,93573682.39998323,3463620.00004774,453737554.0000994,453737554.0000994
0,39936,1,False,77310399.79998969,2900169.999975333,374627740.00005084,374627740.00005084
0,39936,2,False,85724073.19998091,3699248.999964766,413550687.99998665,413550687.99998665
0,39936,3,False,132503173.80002344,4115278.999961447,645832079.0000017,645832079.0000017
0,39936,4,False,84804939.40005544,3414099.000110582,410139917.99991345,410139917.99991345
0,40192,1,False,75439257.80000791,2907659.00012957,365293530.9999066,365293530.9999066
0,40192,2,False,82832381.80006264,4367179.000155374,396471738.99993503,396471738.99993503
0,40192,4,False,102085278.20009294,4172730.000163938,493482901.0001067,493482901.0001067
0,40448,1,False,77339195.80000475,2959859.99991899,374637490.9999304,374637490.9999304
0,40448,2,False,83201407.40001988,4456110.000091939,398105088.9999551,398105088.9999551
0,40448,4,False,93862220.60002182,4120829.999919806,452589954.0001319,452589954.0001319
0,40704,1,False,77472679.9999371,2941008.9998691548,375333540.9999181,375333540.9999181
0,40704,2,False,83434343.59994717,4421668.999839312,399192298.9998784,399192298.9998784
0,40704,3,False,82356035.59992342,4182720.0000170707,394816848.9998807,394816848.9998807
0,40704,4,False,108187255.59997801,3486280.000061015,526728998.99994266,526728998.99994266
0,40960,1,False,75419649.99995798,2972809.999846504,364945850.9999022,364945850.9999022
0,40960,2,False,93331202.59998396,3819999.9999051215,451192173.9999707,451192173.9999707
0,40960,4,False,98251596.19995247,3404828.9999191184,477342012.0000082,477342012.0000082
0,41216,1,False,78482740.00002675,2935879.99999545,380368939.99992573,380368939.99992573
0,41216,2,False,78334081.80003971,4451459.999927465,373745891.000226,373745891.000226
0,41216,4,False,100275670.20006245,3480539.000065619,487215752.00011104,487215752.00011104
0,41472,1,False,78703582.19997798,2942410.000059681,381415860.99982303,381415860.99982303
0,41472,2,False,83991587.40003258,3692839.0002231025,404925948.00002736,404925948.00002736
0,41472,3,False,109180631.39997685,4253739.9999673655,528715418.0000471,528715418.0000471
